%Mean HIS spectrum for Band 1 and standard deviation. 
%   24 individual spectra used in the average.
%
%     wavenumber       radiance          1 standard deviation
% data obtained from http://deluge.ssec.wisc.edu/~his/his/his.html
     767.853885        0.117336        0.000429 
     768.129398        0.116789        0.000443 
     768.404911        0.123513        0.000450 
     768.680423        0.115794        0.000496 
     768.955936        0.105434        0.000452 
     769.231449        0.114113        0.000459 
     769.506962        0.118572        0.000732 
     769.782474        0.116747        0.000548 
     770.057987        0.108272        0.000477 
     770.333500        0.112801        0.000425 
     770.609012        0.122970        0.000426 
     770.884525        0.117308        0.000524 
     771.160038        0.118040        0.000522 
     771.435550        0.119515        0.000503 
     771.711063        0.119703        0.000596 
     771.986576        0.121150        0.000513 
     772.262089        0.120039        0.000436 
     772.537601        0.119539        0.000456 
     772.813114        0.118331        0.000481 
     773.088627        0.121400        0.000609 
     773.364139        0.120379        0.000549 
     773.639652        0.121008        0.000531 
     773.915165        0.120520        0.000538 
     774.190677        0.116392        0.000567 
     774.466190        0.120407        0.000611 
     774.741703        0.119378        0.000495 
     775.017216        0.121011        0.000531 
     775.292728        0.113597        0.000436 
     775.568241        0.098543        0.000437 
     775.843754        0.111638        0.000520 
     776.119266        0.119918        0.000507 
     776.394779        0.118771        0.000316 
     776.670292        0.113698        0.000531 
     776.945804        0.094934        0.000466 
     777.221317        0.104126        0.000403 
     777.496830        0.119936        0.000462 
     777.772343        0.117626        0.000423 
     778.047855        0.121338        0.000497 
     778.323368        0.119264        0.000556 
     778.598881        0.118749        0.000526 
     778.874393        0.119358        0.000441 
     779.149906        0.107141        0.000476 
     779.425419        0.108403        0.000463 
     779.700931        0.119121        0.000587 
     779.976444        0.120582        0.000533 
