24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.6751    1.5002-11.7546    7.0035     7.0055    -0.0290     0.0051     0.0009
 0.7791    1.5002-11.9713    6.2890     6.2604     0.4563     0.0058     0.0007
 0.8645    1.5002- 5.9259    7.5656     7.6417    -0.9964     0.0025     0.0007
 1.0191    1.5002- 7.8566    7.8979     7.8985    -0.0080     0.0038     0.0005
 1.2413    1.5002-11.9347    8.3193     8.4481    -1.5249     0.0054     0.0010
 1.5585    1.5002-11.9713    8.6315     8.7061    -0.8569     0.0028     0.0013
 2.1391    1.5002-11.9713    6.3742     6.4441    -1.0845     0.0059     0.0012


31Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.8007-11.9713   10.9925    10.9392     0.4868     0.0149     0.0018
 0.3800    1.8007-11.9713    9.5824     9.5113     0.7472     0.0149     0.0021
 0.4512    1.8007-10.8054    4.7739     4.8356    -1.2764     0.0089     0.0019
